"no","code","description","function","authorization"
"8","CMM004","AGENT COMMISSIONS INQUIRE MENU","Item Status Inquiry","ITVISTASUP"
"8","CMM004","AGENT COMMISSIONS INQUIRE MENU","Item Status Inquiry","PROGRAMMER"
"9","CMM004","AGENT COMMISSIONS INQUIRE MENU","Customer Master Inquiry","ACADMIN"
"9","CMM004","AGENT COMMISSIONS INQUIRE MENU","Customer Master Inquiry","FACADMIN"
"9","CMM004","AGENT COMMISSIONS INQUIRE MENU","Customer Master Inquiry","FPROGRAMMR"
"9","CMM004","AGENT COMMISSIONS INQUIRE MENU","Customer Master Inquiry","FVISTASUP"
"9","CMM004","AGENT COMMISSIONS INQUIRE MENU","Customer Master Inquiry","ITVISTASUP"
"9","CMM004","AGENT COMMISSIONS INQUIRE MENU","Customer Master Inquiry","PROGRAMMER"
"10","CMM004","AGENT COMMISSIONS INQUIRE MENU","Email Notification Maintenance","ACADMIN"
"10","CMM004","AGENT COMMISSIONS INQUIRE MENU","Email Notification Maintenance","FACADMIN"
"10","CMM004","AGENT COMMISSIONS INQUIRE MENU","Email Notification Maintenance","FPROGRAMMR"
"10","CMM004","AGENT COMMISSIONS INQUIRE MENU","Email Notification Maintenance","FVISTASUP"
"10","CMM004","AGENT COMMISSIONS INQUIRE MENU","Email Notification Maintenance","ITVISTASUP"
"10","CMM004","AGENT COMMISSIONS INQUIRE MENU","Email Notification Maintenance","PROGRAMMER"
"11","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Bid Number","ACADMIN"
"11","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Bid Number","FACADMIN"
"11","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Bid Number","FPROGRAMMR"
"11","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Bid Number","FVISTASUP"
"11","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Bid Number","ITVISTASUP"
"11","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Bid Number","PROGRAMMER"
"12","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Account Number","ACADMIN"
"12","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Account Number","FACADMIN"
"12","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Account Number","FPROGRAMMR"
"12","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Account Number","FVISTASUP"
"12","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Account Number","ITVISTASUP"
"12","CMM004","AGENT COMMISSIONS INQUIRE MENU","Pricing by Account Number","PROGRAMMER"
"14","CMM004","AGENT COMMISSIONS INQUIRE MENU","Access System 3 for testing","**NONE**"
"1","CMPL00","Compliancy Menu","RoHS Menu","DATAADMIN"
"1","CMPL00","Compliancy Menu","RoHS Menu","FDATAADMIN"
"1","CMPL00","Compliancy Menu","RoHS Menu","FPROGRAMMR"
"1","CMPL00","Compliancy Menu","RoHS Menu","FPURSPEC"
"1","CMPL00","Compliancy Menu","RoHS Menu","FPURSUPR"
"1","CMPL00","Compliancy Menu","RoHS Menu","FVISTASUP"
"1","CMPL00","Compliancy Menu","RoHS Menu","ITVISTASUP"
"1","CMPL00","Compliancy Menu","RoHS Menu","PROGRAMMER"
"1","CMPL00","Compliancy Menu","RoHS Menu","PURSPEC"
"1","CMPL00","Compliancy Menu","RoHS Menu","PURSUPR"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","ACCTSUPR"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","CUSTSETUP"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","DATAADMIN"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","DOAPROCESS"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","FACCTSUPR"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","FCUSTSETUP"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","FDATAADMIN"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","FDOAPROCES"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","FKOHLHART"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","FPROGRAMMR"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","KOHLHART"
"2","CMPL00","Compliancy Menu","ERF File Maintenance","PROGRAMMER"
"3","CMPL00","Compliancy Menu","Bi-Annual ARF Fee Update","ACCTSUPR"
"3","CMPL00","Compliancy Menu","Bi-Annual ARF Fee Update","DATAADMIN"
"3","CMPL00","Compliancy Menu","Bi-Annual ARF Fee Update","FACCTSUPR"
"3","CMPL00","Compliancy Menu","Bi-Annual ARF Fee Update","FDATAADMIN"
"3","CMPL00","Compliancy Menu","Bi-Annual ARF Fee Update","FKOHLHART"
"3","CMPL00","Compliancy Menu","Bi-Annual ARF Fee Update","FVISTASUP"
"3","CMPL00","Compliancy Menu","Bi-Annual ARF Fee Update","ITVISTASUP"
"3","CMPL00","Compliancy Menu","Bi-Annual ARF Fee Update","KOHLHART"
"4","CMPL00","Compliancy Menu","EPEAT Menu","DATAADMIN"
"4","CMPL00","Compliancy Menu","EPEAT Menu","FDATAADMIN"
"4","CMPL00","Compliancy Menu","EPEAT Menu","FKOHLHART"
"4","CMPL00","Compliancy Menu","EPEAT Menu","FPROGRAMMR"
"4","CMPL00","Compliancy Menu","EPEAT Menu","FPURSUPR"
"4","CMPL00","Compliancy Menu","EPEAT Menu","FPURSUPR2"
"4","CMPL00","Compliancy Menu","EPEAT Menu","FVISTASUP"
"4","CMPL00","Compliancy Menu","EPEAT Menu","ITVISTASUP"
"4","CMPL00","Compliancy Menu","EPEAT Menu","KOHLHART"
"4","CMPL00","Compliancy Menu","EPEAT Menu","PROGRAMMER"
"4","CMPL00","Compliancy Menu","EPEAT Menu","PURSUPR"
"4","CMPL00","Compliancy Menu","EPEAT Menu","PURSUPR2"
"5","CMPL00","Compliancy Menu","MCC Menu","ALLUSROPT"
"5","CMPL00","Compliancy Menu","MCC Menu","DATAADMIN"
"5","CMPL00","Compliancy Menu","MCC Menu","FALLUSROPT"
"5","CMPL00","Compliancy Menu","MCC Menu","FDATAADMIN"
"5","CMPL00","Compliancy Menu","MCC Menu","FKOHLHART"
"5","CMPL00","Compliancy Menu","MCC Menu","FPROGRAMMR"
"5","CMPL00","Compliancy Menu","MCC Menu","KOHLHART"
"5","CMPL00","Compliancy Menu","MCC Menu","PROGRAMMER"
"90","CMPL00","Compliancy Menu","Sign Off","ACCTSUPR"
"90","CMPL00","Compliancy Menu","Sign Off","ALLUSROPT"
"90","CMPL00","Compliancy Menu","Sign Off","CUSTSETUP"
"90","CMPL00","Compliancy Menu","Sign Off","DATAADMIN"
"90","CMPL00","Compliancy Menu","Sign Off","DOAPROCESS"
"90","CMPL00","Compliancy Menu","Sign Off","FACCTSUPR"
"90","CMPL00","Compliancy Menu","Sign Off","FALLUSROPT"
"90","CMPL00","Compliancy Menu","Sign Off","FCUSTSETUP"
"90","CMPL00","Compliancy Menu","Sign Off","FDATAADMIN"
"90","CMPL00","Compliancy Menu","Sign Off","FDOAPROCES"
"90","CMPL00","Compliancy Menu","Sign Off","FKOHLHART"
"90","CMPL00","Compliancy Menu","Sign Off","FPROGRAMMR"
"90","CMPL00","Compliancy Menu","Sign Off","FPURSPEC"
"90","CMPL00","Compliancy Menu","Sign Off","FPURSUPR"
"90","CMPL00","Compliancy Menu","Sign Off","FPURSUPR2"
"90","CMPL00","Compliancy Menu","Sign Off","FVISTASUP"
"90","CMPL00","Compliancy Menu","Sign Off","ITVISTASUP"
"90","CMPL00","Compliancy Menu","Sign Off","KOHLHART"
"90","CMPL00","Compliancy Menu","Sign Off","PROGRAMMER"
"90","CMPL00","Compliancy Menu","Sign Off","PURSPEC"
"90","CMPL00","Compliancy Menu","Sign Off","PURSUPR"
"90","CMPL00","Compliancy Menu","Sign Off","PURSUPR2"
"1","CMS000","CAMS MENU","Correct CT#,s","CONFIG"
"1","CMS000","CAMS MENU","Correct CT#,s","FCONFIG"
"1","CMS000","CAMS MENU","Correct CT#,s","FPROGRAMMR"
"1","CMS000","CAMS MENU","Correct CT#,s","FTCMANAGER"
"1","CMS000","CAMS MENU","Correct CT#,s","FWHSRVIEW1"
"1","CMS000","CAMS MENU","Correct CT#,s","PROGRAMMER"
"1","CMS000","CAMS MENU","Correct CT#,s","TCMANAGER1"
"1","CMS000","CAMS MENU","Correct CT#,s","WHSREVIEW1"
"2","CMS000","CAMS MENU","Reset System","CONFIG"
"2","CMS000","CAMS MENU","Reset System","FCONFIG"
"2","CMS000","CAMS MENU","Reset System","FPROGRAMMR"
"2","CMS000","CAMS MENU","Reset System","FTCMANAGER"
"2","CMS000","CAMS MENU","Reset System","FWHSRVIEW1"
"2","CMS000","CAMS MENU","Reset System","FWHSRVIEW2"
"2","CMS000","CAMS MENU","Reset System","PROGRAMMER"
"2","CMS000","CAMS MENU","Reset System","TCMANAGER1"
"2","CMS000","CAMS MENU","Reset System","WHSREVIEW1"
"2","CMS000","CAMS MENU","Reset System","WHSREVIEW2"
"3","CMS000","CAMS MENU","View Systems Pending Reset","CONFIG"
"3","CMS000","CAMS MENU","View Systems Pending Reset","FCONFIG"
"3","CMS000","CAMS MENU","View Systems Pending Reset","FINVMNGT"
"3","CMS000","CAMS MENU","View Systems Pending Reset","FINVMNGT2"
"3","CMS000","CAMS MENU","View Systems Pending Reset","FPROGRAMMR"
"3","CMS000","CAMS MENU","View Systems Pending Reset","FTCMANAGER"
"3","CMS000","CAMS MENU","View Systems Pending Reset","FWHSMNGT"
"3","CMS000","CAMS MENU","View Systems Pending Reset","FWHSRVIEW1"
"3","CMS000","CAMS MENU","View Systems Pending Reset","FWHSRVIEW2"
"3","CMS000","CAMS MENU","View Systems Pending Reset","INVMNGT"
"3","CMS000","CAMS MENU","View Systems Pending Reset","INVMNGT2"
"3","CMS000","CAMS MENU","View Systems Pending Reset","PROGRAMMER"
"3","CMS000","CAMS MENU","View Systems Pending Reset","TCMANAGER1"
"3","CMS000","CAMS MENU","View Systems Pending Reset","WHSMNGT"
"3","CMS000","CAMS MENU","View Systems Pending Reset","WHSREVIEW1"
"3","CMS000","CAMS MENU","View Systems Pending Reset","WHSREVIEW2"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","CONFIG"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","CONFIGIND"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FCONFIG"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FOECLERK"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FOESUPR"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FPROGRAMMR"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FPSGORDOPS"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FPSGORDOP1"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FSCHEDSUP2"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FTCMANAGER"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FWHSCFGTEC"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FWHSCFGUSR"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FWHSMNGWAN"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FWHSMNGWAV"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FWHSRVIEW1"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","FWHSRVIEW2"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","OECLERK"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","OESUPR"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","PROGRAMMER"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","PSGORDOPS"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","PSGORDOPS1"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","SCHEDSUPR2"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","TCMANAGER1"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","WHSCFGTECH"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","WHSCFGUSER"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","WHSMNGWAND"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","WHSMNGWAVE"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","WHSREVIEW1"
"4","CMS000","CAMS MENU","New Asset Maintenance Menu","WHSREVIEW2"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","CONFIG"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","CONFIGIND"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","FCONFIG"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","FINVMNGT"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","FINVMNGT2"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","FPROGRAMMR"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","FTCMANAGER"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","FWHSCFGTEC"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","FWHSCFGUSR"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","FWHSMNGT"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","FWHSRVIEW1"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","FWHSRVIEW2"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","INVMNGT"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","INVMNGT2"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","PRODOBJ"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","PROGRAMMER"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","TCMANAGER1"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","WHSCFGTECH"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","WHSCFGUSER"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","WHSMNGT"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","WHSREVIEW1"
"6","CMS000","CAMS MENU","Consolidation Tech. Prod. Rpt.","WHSREVIEW2"
"7","CMS000","CAMS MENU","Bulk Pack Consumables Maint","CONFIG"
"7","CMS000","CAMS MENU","Bulk Pack Consumables Maint","FCONFIG"
"7","CMS000","CAMS MENU","Bulk Pack Consumables Maint","FPROGRAMMR"
"7","CMS000","CAMS MENU","Bulk Pack Consumables Maint","PROGRAMMER"
"8","CMS000","CAMS MENU","Team Maintenance","CONFIG"
"8","CMS000","CAMS MENU","Team Maintenance","CONFIGIND"
"8","CMS000","CAMS MENU","Team Maintenance","FCONFIG"
"8","CMS000","CAMS MENU","Team Maintenance","FPROGRAMMR"
"8","CMS000","CAMS MENU","Team Maintenance","FTCMANAGER"
"8","CMS000","CAMS MENU","Team Maintenance","FWHSCFGUSR"
"8","CMS000","CAMS MENU","Team Maintenance","FWHSRVIEW1"
"8","CMS000","CAMS MENU","Team Maintenance","FWHSRVIEW2"
"8","CMS000","CAMS MENU","Team Maintenance","PROGRAMMER"
"8","CMS000","CAMS MENU","Team Maintenance","TCMANAGER1"
"8","CMS000","CAMS MENU","Team Maintenance","WHSCFGUSER"
"8","CMS000","CAMS MENU","Team Maintenance","WHSREVIEW1"
"8","CMS000","CAMS MENU","Team Maintenance","WHSREVIEW2"
"9","CMS000","CAMS MENU","Technician Maintenance","CONFIG"
"9","CMS000","CAMS MENU","Technician Maintenance","CONFIGIND"
"9","CMS000","CAMS MENU","Technician Maintenance","FCONFIG"
"9","CMS000","CAMS MENU","Technician Maintenance","FPROGRAMMR"
"9","CMS000","CAMS MENU","Technician Maintenance","FTCMANAGER"
"9","CMS000","CAMS MENU","Technician Maintenance","FWHSCFGUSR"
"9","CMS000","CAMS MENU","Technician Maintenance","FWHSRVIEW1"
"9","CMS000","CAMS MENU","Technician Maintenance","FWHSRVIEW2"
"9","CMS000","CAMS MENU","Technician Maintenance","PRODOBJ"
"9","CMS000","CAMS MENU","Technician Maintenance","PROGRAMMER"
"9","CMS000","CAMS MENU","Technician Maintenance","TCMANAGER1"
"9","CMS000","CAMS MENU","Technician Maintenance","WHSCFGUSER"
"9","CMS000","CAMS MENU","Technician Maintenance","WHSREVIEW1"
"9","CMS000","CAMS MENU","Technician Maintenance","WHSREVIEW2"
"10","CMS000","CAMS MENU","Tech Level Maintenance","CONFIG"
"10","CMS000","CAMS MENU","Tech Level Maintenance","CONFIGIND"
"10","CMS000","CAMS MENU","Tech Level Maintenance","FCONFIG"
"10","CMS000","CAMS MENU","Tech Level Maintenance","FPROGRAMMR"
"10","CMS000","CAMS MENU","Tech Level Maintenance","FTCMANAGER"
"10","CMS000","CAMS MENU","Tech Level Maintenance","FWHSCFGUSR"
"10","CMS000","CAMS MENU","Tech Level Maintenance","FWHSRVIEW1"
"10","CMS000","CAMS MENU","Tech Level Maintenance","FWHSRVIEW2"
"10","CMS000","CAMS MENU","Tech Level Maintenance","PRODOBJ"
"10","CMS000","CAMS MENU","Tech Level Maintenance","PROGRAMMER"
"10","CMS000","CAMS MENU","Tech Level Maintenance","TCMANAGER1"
"10","CMS000","CAMS MENU","Tech Level Maintenance","WHSCFGUSER"
"10","CMS000","CAMS MENU","Tech Level Maintenance","WHSREVIEW1"
"10","CMS000","CAMS MENU","Tech Level Maintenance","WHSREVIEW2"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","CPQORDDATA"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","CPQORDSTAT"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","CUSTSETUP2"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","FCPQORDATA"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","FCPQORDSTA"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","FCUSTSETU2"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","FINVMNGT"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","FINVMNGT2"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","FWHSMNGT"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","INVMNGT"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","INVMNGT2"
"1","COA001","COA Menu","COA 846 Consumption Inquiry","WHSMNGT"
"16","COA001","COA Menu","COA Label Receiving Report","ALLUSROPT"
"16","COA001","COA Menu","COA Label Receiving Report","FALLUSROPT"
"16","COA001","COA Menu","COA Label Receiving Report","FINVMNGT"
"16","COA001","COA Menu","COA Label Receiving Report","FINVMNGT2"
"16","COA001","COA Menu","COA Label Receiving Report","FPROGRAMMR"
"16","COA001","COA Menu","COA Label Receiving Report","FVISTASUP"
"16","COA001","COA Menu","COA Label Receiving Report","FWHSMNGT"
"16","COA001","COA Menu","COA Label Receiving Report","INVMNGT"
"16","COA001","COA Menu","COA Label Receiving Report","INVMNGT2"
"16","COA001","COA Menu","COA Label Receiving Report","ITVISTASUP"
"16","COA001","COA Menu","COA Label Receiving Report","PROGRAMMER"
"16","COA001","COA Menu","COA Label Receiving Report","WHSMNGT"
"17","COA001","COA Menu","COA Summary Report","ALLUSROPT"
"17","COA001","COA Menu","COA Summary Report","CONFIG"
"17","COA001","COA Menu","COA Summary Report","CUSTSETUP"
"17","COA001","COA Menu","COA Summary Report","DOAPROCESS"
"17","COA001","COA Menu","COA Summary Report","FALLUSROPT"
"17","COA001","COA Menu","COA Summary Report","FCONFIG"
"17","COA001","COA Menu","COA Summary Report","FCUSTSETUP"
"17","COA001","COA Menu","COA Summary Report","FDOAPROCES"
"17","COA001","COA Menu","COA Summary Report","FINVMNGT"
"17","COA001","COA Menu","COA Summary Report","FINVMNGT2"
"17","COA001","COA Menu","COA Summary Report","FKOHLHART"
"17","COA001","COA Menu","COA Summary Report","FPROGRAMMR"
"17","COA001","COA Menu","COA Summary Report","FTCMANAGER"
"17","COA001","COA Menu","COA Summary Report","FVISTASUP"
"17","COA001","COA Menu","COA Summary Report","FWHSCFGUSR"
"17","COA001","COA Menu","COA Summary Report","FWHSMNGT"
"17","COA001","COA Menu","COA Summary Report","FWHSRVIEW1"
"17","COA001","COA Menu","COA Summary Report","FWHSRVIEW2"
"17","COA001","COA Menu","COA Summary Report","INVMNGT"
"17","COA001","COA Menu","COA Summary Report","INVMNGT2"
"17","COA001","COA Menu","COA Summary Report","ITVISTASUP"
"17","COA001","COA Menu","COA Summary Report","KOHLHART"
"17","COA001","COA Menu","COA Summary Report","PROGRAMMER"
"17","COA001","COA Menu","COA Summary Report","TCMANAGER1"
"17","COA001","COA Menu","COA Summary Report","WHSCFGUSER"
"17","COA001","COA Menu","COA Summary Report","WHSMNGT"
"17","COA001","COA Menu","COA Summary Report","WHSREVIEW1"
"17","COA001","COA Menu","COA Summary Report","WHSREVIEW2"
"18","COA001","COA Menu","COA Reason Code Report","ALLUSROPT"
"18","COA001","COA Menu","COA Reason Code Report","CONFIG"
"18","COA001","COA Menu","COA Reason Code Report","FALLUSROPT"
"18","COA001","COA Menu","COA Reason Code Report","FCONFIG"
"18","COA001","COA Menu","COA Reason Code Report","FINVMNGT"
"18","COA001","COA Menu","COA Reason Code Report","FINVMNGT2"
"18","COA001","COA Menu","COA Reason Code Report","FPROGRAMMR"
"18","COA001","COA Menu","COA Reason Code Report","FTCMANAGER"
"18","COA001","COA Menu","COA Reason Code Report","FVISTASUP"
"18","COA001","COA Menu","COA Reason Code Report","FWHSMNGT"
"18","COA001","COA Menu","COA Reason Code Report","INVMNGT"
"18","COA001","COA Menu","COA Reason Code Report","INVMNGT2"
"18","COA001","COA Menu","COA Reason Code Report","ITVISTASUP"
"18","COA001","COA Menu","COA Reason Code Report","PROGRAMMER"
"18","COA001","COA Menu","COA Reason Code Report","TCMANAGER1"
"18","COA001","COA Menu","COA Reason Code Report","WHSMNGT"
"19","COA001","COA Menu","COA WIP Report","CONFIG"
"19","COA001","COA Menu","COA WIP Report","FCONFIG"
"19","COA001","COA Menu","COA WIP Report","FINVMNGT"
"19","COA001","COA Menu","COA WIP Report","FINVMNGT2"
"19","COA001","COA Menu","COA WIP Report","FPROGRAMMR"
"19","COA001","COA Menu","COA WIP Report","FTCMANAGER"
"19","COA001","COA Menu","COA WIP Report","FVISTASUP"
"19","COA001","COA Menu","COA WIP Report","FWHSMNGT"
"19","COA001","COA Menu","COA WIP Report","FWHSRVIEW1"
"19","COA001","COA Menu","COA WIP Report","FWHSRVIEW2"
"19","COA001","COA Menu","COA WIP Report","INVMNGT"
"19","COA001","COA Menu","COA WIP Report","INVMNGT2"
"19","COA001","COA Menu","COA WIP Report","ITVISTASUP"
"19","COA001","COA Menu","COA WIP Report","PROGRAMMER"
"19","COA001","COA Menu","COA WIP Report","TCMANAGER1"
"19","COA001","COA Menu","COA WIP Report","WHSMNGT"
"19","COA001","COA Menu","COA WIP Report","WHSREVIEW1"
"19","COA001","COA Menu","COA WIP Report","WHSREVIEW2"
"20","COA001","COA Menu","COA PICK REPORT","FINVMNGT"
"20","COA001","COA Menu","COA PICK REPORT","FINVMNGT2"
"20","COA001","COA Menu","COA PICK REPORT","FINVSUPR"
"20","COA001","COA Menu","COA PICK REPORT","FWHSMNGT"
"20","COA001","COA Menu","COA PICK REPORT","INVMNGT"
"20","COA001","COA Menu","COA PICK REPORT","INVMNGT2"
"20","COA001","COA Menu","COA PICK REPORT","INVSUPR"
"20","COA001","COA Menu","COA PICK REPORT","WHSMNGT"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","ACCTSUPR"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","ALLUSROPT"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","ARCLERK"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","ARCLERK2"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","ARCLERK3"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","CISSPEC2"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","CISSPEC4"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","CONFIG"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","CPQCREDIT2"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","CPQORDDATA"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","CPQORDSTAT"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","CUSTSETUP"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","CUSTSETUP2"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","DATAADMIN"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","DOAPROCESS"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FACCTSUPR"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FALLUSROPT"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FARCLERK"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FARCLERK2"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FARCLERK3"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FCISSPEC2"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FCISSPEC4"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FCONFIG"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FCPQCRED2"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FCPQORDATA"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FCPQORDSTA"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FCUSTSETUP"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FCUSTSETU2"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FDATAADMIN"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FDOAPROCES"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FKOHLHART"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FOECLERK"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FOESUPR"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FPROGRAMMR"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FPURSPEC"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FPURSUPR"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FPURSUPR2"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FSTUDENTPR"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FTCMANAGER"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FTELECAT"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FTELESALES"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FTELE3PO"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FTRAFFIC"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FTRAFFIC2"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FTRAFFIC5"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FVISTASUP"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FWHSCFGUSR"
"1","CPQ000","""RESERVED"" Main Menu","Partner Direct Menu","FWHSRETURN"
